suffix,tag
അണമായിരുന്നു,MOOD_DSRV
അണേ,MOOD_IRLS
അത്,NOMINAL
അത്രേ,MOD_EPIC MOD_JUD_QUTV
അധികം,QT_QTF
അപ്പോള്‍,MOOD_COND
അരുതെ,MOOD_PRCT-NEG
അണം,MOOD_IMPR
ആയിരുന്നു,be_PAST
ഇരിക്ക്, 
അല്ല,RP_NEG
അല്ലോ,INTEROGATIVE
കള്‍,PL
തു,PAST
ആ,MOOD_IMPR
ഊ,MOOD_IMPR
ആം,MOD_EPIC MOD_EVDT
ആക്,CONJUGATIVE
ആകെ,QT_QTF
ആണ്,CONJUGATIVE
ആതെ,NEG
ആത്ത,NEG
ആത്തതു,NEG 
ആന്‍,MOOD_PURP
ആയ,MODIFIER
ആയി,MODIFIER
ആര്,PR_PRQ
ആര്‍ക്ക്,DM_DMQ
ആല്‍,MOOD_CONDI
ആവുന്നതേയുള്ളു,MOOD_ABLT
ആള്‍,PR_PRP
ഇട, 
ഇടെ, 
ഇട്ട്,PSP
ഇത്,DM
ഇതുവരെ, 
ഇനോ, 
അതിന്, 
ഇന്റെ,GEN _ CASE MARKER
ന്റെ, 
ഇപ്പോള്‍, 
ഇപ്പോഴ്, 
ഇയ,RELATIVE
ഇരിക്കുന്നു,ASP_PRF_CTP
ഇരുന്നു,ASP_PRF_SMPL
ഇല്‍,LOC
ഇല്ല,RP_NEG
ഇവ,DM_DMD
ഈ,DM
ഉം,CONJUGATIVE
ഉടെ,GEN
ഉണ്ട്,ASP_PROG_SAT
ഉന്ന,RELATIVE
ഉന്നു,Verb_PRESENT
ഉമേ,MOOD_MONI
ഉള്‍പ്പടെ,N_NN
ഉള്ള,RELATIVE
ഉള്ളത്,RELATIVE
ഉള്ളവ,RELATIVE
ഉള്ളു,RELATIVE
ഊടെ,LOC
ഊടേ,LOC
എ,ACC
എങ്കിലും,CC_CCS
എങ്കില്‍,MOOD_CONDI
എത്ര,DM_DMR
എത്രെ,DM_DMR
എന്തു,DM_DMR
എന്ത്,DM_DMR
എന്ന,CC_CCS_UT
എന്നത്,CC_CCS
എന്നാല്‍,CC_CCD
എന്നിട്ട്,CC_CCD
എന്നു,CC_CCS_UT
എന്നോ, 
എന്ന്,CC_CCS_UT
എല്ലാ,QT_QTF
എല്ലാം,QT_QTF
എവിടെ,N_NST
ഏ,ACC
ഏകദേശം,QT_QTF
ഏക്കാള്‍, 
ഏക്കു,LOC
ഏക്ക്,LOC
ഏതു,DM_DMR
ഏത്,DM_DMR
ഏയ്ക്കു,LOC
ഏയ്ക്ക്,LOC
ഏറെ,RP_INT
ഒക്കെ,N_NN
ഒട്ടാകെ,PSP
ഒട്ടുക്ക്,PSP
ഒത്ത,PSP
ഒത്തു,PSP
ഒത്ത്,PSP
ഒന്നു,QT_QTC
ഒന്ന്,QT_QTC
ഒപ്പം,PSP
ഒരു,QT_QTC
ഓ,DISJUNCTIVE
ഓടു, 
ഓടെ, 
ഓട്, 
ഓട്ടു,LOC
ഓട്ട്,LOC
ഓളം,PSP
കളെ,PL
കൾ,PL
കൂടി,PSP
കൊണ്ട,PSP
കൊണ്ട്,PSP
കൊള്ളു,MOOD_PRMS
ക്കാള്‍, 
ക്കു,DAT
ക്ക്,DAT
ച്ചു,PAST
ഞ്ഞു,PAST
ട്ടെ,MOOD_OPT
ണം,MOOD_IMPR
ണു,PAST
ണെ,MOOD_PRCT
ണ്ടു,PAST
തന്നെ,PR_PRF
താനെ,PR_PRP
താന്‍, 
തു,PAST
തോട്ടു,PSP
തോട്ട്,PSP
നിന്നു,PSP
നിന്ന്,PSP
ന്തു,PAST
ന്നു,PAST
പെടുന്ന,MOD_EPIC MOD_JUD_ALTC
പെടുന്നു,MOD_EPIC MOD_JUD_ALTC
പോലും,MOD_EPIC MOD_JUD_RPTV
പോലെ,RP_RPD
മാത്രം,RP_RPD
മാര്‍,PL
മാര്,PL
മൂലം,PSP
യ്ക്ക്, 
വരെ,PSP
വേണ്ട,PSP
വേണ്ടി,PSP
ശേഷം,PSP
ഉക,NFT_INF
